Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
Doxorubicin,133,SCC-4,910904,HNSC,aero_digestive_tract,head_and_neck,-1.751580501,.64607150003783564,1.024,.067617471407937849,.00862396980790546,GDSC1
Doxorubicin,133,SCC-15,910911,HNSC,aero_digestive_tract,head_and_neck,-1.616143091,.65862898233279088,1.024,.058498662632154662,.090476820365674268,GDSC1
Doxorubicin,133,CAL-27,910916,HNSC,aero_digestive_tract,head_and_neck,-3.884477292,.32257917888809873,1.024,.13546952765136561,-1.280411915,GDSC1
Doxorubicin,133,DOK,910936,HNSC,aero_digestive_tract,head_and_neck,-0.36279278,.78947746823190768,1.024,.15615568849688721,.84795066226004578,GDSC1
Doxorubicin,133,HO-1-N-1,924111,HNSC,aero_digestive_tract,head_and_neck,-1.728044754,.66468877618616362,1.024,.13573246421037732,.022848015998228499,GDSC1
Doxorubicin,133,BICR22,1240121,HNSC,aero_digestive_tract,head_and_neck,-0.432307421,.81621179121425413,1.024,.094398822929871132,.80593884698045182,GDSC1
Doxorubicin,133,BICR78,1240122,HNSC,aero_digestive_tract,head_and_neck,-1.487719513,.68178379715770732,1.024,.077201993528380114,.16809079652351733,GDSC1
Doxorubicin,133,JHU-011,1240161,HNSC,aero_digestive_tract,head_and_neck,-4.384552241,.24766377799713024,1.024,.13146739991653589,-1.582636832,GDSC1
Doxorubicin,133,JHU-022,1240162,HNSC,aero_digestive_tract,head_and_neck,-0.521496459,.79033520528141676,1.024,.077496094263500501,.75203662740196309,GDSC1
Doxorubicin,133,OSC-20,1240196,HNSC,aero_digestive_tract,head_and_neck,-3.289971886,.41988206009372142,1.024,.11567527275214014,-0.92111708,GDSC1
Doxorubicin,133,PCI-15A,1240204,HNSC,aero_digestive_tract,head_and_neck,-1.824051863,.64661202024648901,1.024,.052307275405640584,-0.035174768,GDSC1
Doxorubicin,133,PCI-38,1240205,HNSC,aero_digestive_tract,head_and_neck,-0.440439571,.82540796188667342,1.024,.023501496038862472,.80102410696360016,GDSC1
Doxorubicin,133,PCI-6A,1240206,HNSC,aero_digestive_tract,head_and_neck,-4.202868833,.27375153552535791,1.024,.12559813163317543,-1.472834785,GDSC1
Doxorubicin,133,PE-CA-PJ15,1240207,HNSC,aero_digestive_tract,head_and_neck,-1.507448366,.68758180823407611,1.024,.047527449214343057,.1561674814933009,GDSC1
Doxorubicin,133,BICR10,1290724,HNSC,aero_digestive_tract,head_and_neck,.9857606618412591,.93157924240065304,1.024,.069175376504893832,1.6629613966618617,GDSC1
Doxorubicin,133,BICR31,1290725,HNSC,aero_digestive_tract,head_and_neck,-3.002457869,.46049980255358014,1.024,.082876684233866557,-0.747355327,GDSC1
Doxorubicin,133,JHU-029,1298156,HNSC,aero_digestive_tract,head_and_neck,-4.30527478,.28416636693376784,1.024,.065088033657805966,-1.534724765,GDSC1
Doxorubicin,133,KON,1298215,HNSC,aero_digestive_tract,head_and_neck,-3.327190259,.40589823287838911,1.024,.1223814234119336,-0.943610347,GDSC1
Doxorubicin,133,OSC-19,1298362,HNSC,aero_digestive_tract,head_and_neck,-3.086387184,.4466898083427242,1.024,.17646945060735822,-0.798078783,GDSC1
Doxorubicin,133,PCI-30,1298529,HNSC,aero_digestive_tract,head_and_neck,.80793943710397664,.90484799888726375,1.024,.10869352028510988,1.5554934962986711,GDSC1
Doxorubicin,133,PCI-4B,1298531,HNSC,aero_digestive_tract,head_and_neck,-3.73472999,.34379328047238633,1.024,.085058995658857495,-1.18991075,GDSC1
Doxorubicin,133,SAT,1299050,HNSC,aero_digestive_tract,head_and_neck,.70831880373800882,.87772763129931208,1.024,.077465448184510954,1.4952868459592126,GDSC1
Doxorubicin,133,SCC90,1299052,HNSC,aero_digestive_tract,head_and_neck,-0.919632884,.73399824457504315,1.024,.1232092097251288,.51141919975924122,GDSC1
Doxorubicin,133,SKN-3,1299059,HNSC,aero_digestive_tract,head_and_neck,1.4566846019825335,.94543185571502386,1.024,.038348017468599137,1.9475686315547436,GDSC1
,,,,,,,,,,,,
Doxorubicin,1386,BB30-HNC,753531,HNSC,aero_digestive_tract,head_and_neck,-3.249124589,.195864010750185,5,.061102370812376981,-1.161539372,GDSC1
Doxorubicin,1386,BB49-HNC,753532,HNSC,aero_digestive_tract,head_and_neck,-3.344401858,.22026550446605675,5,.09661177855831718,-1.230214341,GDSC1
Doxorubicin,1386,BHY,753535,HNSC,aero_digestive_tract,head_and_neck,-2.190251069,.3374236939037949,5,.075416836770786116,-0.398313196,GDSC1
Doxorubicin,1386,Ca9-22,753538,HNSC,aero_digestive_tract,head_and_neck,-2.345180304,.3099074272328326,5,.052305002746353975,-0.509984746,GDSC1
Doxorubicin,1386,CAL-33,753541,HNSC,aero_digestive_tract,head_and_neck,-2.915576502,.23726462603887655,5,.094656909657655677,-0.921121017,GDSC1
Doxorubicin,1386,HO-1-u-1,753561,HNSC,aero_digestive_tract,head_and_neck,-2.611119872,.26792868718620733,5,.090690914955715282,-0.701671511,GDSC1
Doxorubicin,1386,HSC-2,753562,HNSC,aero_digestive_tract,head_and_neck,-2.551998161,.27797645088468825,5,.03307469259389767,-0.659057133,GDSC1
Doxorubicin,1386,KOSC-2,753570,HNSC,aero_digestive_tract,head_and_neck,-3.056246838,.23830136153321968,5,.053395940194476084,-1.022514885,GDSC1
Doxorubicin,1386,LB771-HNC,753583,HNSC,aero_digestive_tract,head_and_neck,.070822705104386929,.67755007925024024,5,.04865395092486198,1.2314477313484213,GDSC1
Doxorubicin,1386,Detroit562,906837,HNSC,aero_digestive_tract,head_and_neck,-1.307877937,.47650195569127762,5,.061468167413769405,.23769314342626244,GDSC1
Doxorubicin,1386,FADU,906863,HNSC,aero_digestive_tract,head_and_neck,-3.541858704,.15936767229412263,5,.054135525219917921,-1.372539397,GDSC1
